idBeneficiaire,nomBénéficiaire,montant,nature,objet,montant_reuse,dateConvention,datepublication,datesPériodeVersement
78180455400017.0,OTCBM,3740000,aide en numéraire,aide au fonctionnement,Supérieur à 500 000€,45343,45386,2024-02-21/2024-08-21
84937825200019.0,Villa Valmont,40000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45365,45386,2024-03-14/2024-09-14
34426475900046.0,Escales Littéraires de Bordeaux Aquitaine,150000,aide en numéraire,Escale du Livre,Entre 100 000€ et 500 000€,45419,45537,2024-05-07/2024-11-07
82101368700024.0,France Active Nouvelle Aquitaine,50000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45432,45537,2024-05-20/2024-11-20
35221687300211.0,ADIE,43000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45457,45537,2024-06-14/2024-12-14
49874718700025.0,Bordeax Aquitaine Inno'Vin,40000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45450,45537,2024-06-07/2024-12-07
31231100400039.0,GIHP,30000,aide en numéraire,aide au fonctionnement,Inférieur à 30 000€,45469,45537,2024-06-26/2024-12-26
42008956700000.0,ASSOCIATION ESPRIT DE CORPS,20000,aide en numéraire,codev,Inférieur à 30 000€,43832,43853,2020-01-02/2020-07-02
49848483100000.0,AGEC & CO,14250,aide en numéraire,SMAC agglo scènes musiques actuelles,Inférieur à 30 000€,43893,43929,2020-03-03/2020-09-03
44433758800000.0,LA FABRIQUE POLA,114000,aide en numéraire,Fonctionnement,Entre 100 000€ et 500 000€,43916,43929,2020-03-26/2020-09-26
32500114700000.0,LE PARTENARIAT,29000,aide en numéraire,Appel à projet international solidarité eau,Inférieur à 30 000€,43881,43984,2020-02-20/2020-08-20
34169319000000.0,MUSIQUES DE NUIT DIFFUSION,28000,aide en numéraire,Les inédits de l'été E.M.,Inférieur à 30 000€,44007,44068,2020-06-25/2020-12-25
79739136400000.0,CRISTOPH HUTIN ARCHITECTURE,37500,aide en numéraire,Biennale archi Venise,Entre 30 000€ et 100 000€,44161,44166,2020-11-26/2021-05-26
50449400600000.0,ASSOCIATION EAU POUR LA VIE,50000,aide en numéraire,AP international solidarité eau BENIN,Entre 30 000€ et 100 000€,43881,43984,2020-02-20/2020-08-20
39459802300000.0,ID DEVELOPPEMENT,50000,aide en numéraire,AP international solidarité eau TAHITI,Entre 30 000€ et 100 000€,43881,44068,2020-02-20/2020-08-20
31231100400039.0,GIHP INSERT PERS HAND,5000,aide en numéraire,Zéro déchets,Inférieur à 30 000€,43382,43502,2018-10-09/2019-04-09
32848008200069.0,COMPAGNIE LES MARCHES DE L'ÉTÉ,15000,aide en numéraire,FESTIVAL 30/30,Inférieur à 30 000€,43515,43557,2019-02-19_2019-08-19
37809063300017.0,CREAC DE BEGLES,47500,aide en numéraire,saison cirque,Entre 30 000€ et 100 000€,43516,43557,2019-02-20/2019-08-20
42008956700036.0,ESPRIT DE CORPS,20000,aide en numéraire,festival POUCE,Inférieur à 30 000€,43535,43557,2019-03-11/2019-09-11
40265285300069.0,CHAHUTS,35000,aide en numéraire,LES ARTS DE LA PAROLE,Entre 30 000€ et 100 000€,43518,43557,2019-02-22/2019-08-22
37781852100025.0,BORDEAUX TECHNOWEST,440000,aide en numéraire,LA TECHNOPOLE,Entre 100 000€ et 500 000€,43600,43636,2019-05-15/2019-11-15
48956307200029.0,ADMAA,20000,aide en numéraire,Eté métropolitain,Inférieur à 30 000€,43612,43636,2019-05-27/2019-11-27
82071933400014.0,CLUSTER BORDEAUX SUPERYACHT,25000,aide en numéraire,Fonctionnement,Inférieur à 30 000€,43608,43636,2019-05-23/2019-11-23
82155741000015.0,L'ART DANS TOUS SES ETATS,6600,aide en numéraire,Eté métropolitain,Inférieur à 30 000€,43628,43636,2019-06-12/2019-12-12
41900910500018.0,CSDL,38000,aide en numéraire,ESS programme d'actions,Entre 30 000€ et 100 000€,43622,43636,2019-06-06/2019-12-06
39856806300059.0,FACE,14250,aide en numéraire,Fonctionnement,Inférieur à 30 000€,43643,43724,2019-06-27/2019-12-27
33348540700017.0,CIDFF,8500,aide en numéraire,actions spécifiques,Inférieur à 30 000€,43669,43724,2019-07-23/2020-01-23
53389682500023.0,SEMER LE DOUTE,26000,aide en numéraire,Festival FIFIB,Inférieur à 30 000€,43703,43724,2019-08-26/2020-02-26
79493089100013.0,LE LIVRE VERT,15000,aide en numéraire,investissement,Inférieur à 30 000€,43452,43502,2018-12-18/2019-06-18
