nom,latitude,longitude,description,adresse_brut,type_lieu,public_cible,contact_telephone,horaires_ouverture_brut,services
Emmaüs Connect,44.87298136,-0.5722592476,Nous mettons en place des activités dédiées à accompagner les personnes en difficulté numérique dans leur parcours. Nous les aidons à accéder à une offre solidaire pour s’équiper et se connecter tout en leur fournissant des outils pédagogiques pour appréhender seules ou accompagnées les services numériques essentiels à leur insertion sociale et professionnelle.,38 cours des Aubiers,Association,Tout public,06 46 80 33 29,Mardi au Jeudi : 10h-13h/14h-17h45. Vendredi 10h-13h/14h-16h45.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
L'Atelier de No Working Bordeaux Bacalan,44.86556204,-0.5492165921,"L'atelier de No Working est un espace d'activités, d'échange et de partage à destination des seniors.",19 rue Achard,Autre / Inconnu,Séniors,05 56 37 68 95,Du Lundi au Vendredi : 9h12h30/13h30-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Pôle Emploi Gironde - Bordeaux Nord,44.83732746,-0.572872104,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",5 place Ravezies,Pôle Emploi,Demandeurs d'emploi,3949,Réception sans rendez-vous  les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Accès à un équipement informatique
Chantecler Bordeaux,44.8541256,-0.5767387999,"Aujourd’hui c’est 61 activités proposées pour 3600 pratiquants. Cette belle aventure doit sa réussite aux bénévoles, aux salariés et aux adhérents qui se sont succédés au cours de ces 92 années passées. Nous serons donc très prochainement CENTENAIRE… Nous nous sommes attachés à préserver les valeurs qui ont initié CHANTECLER : accueil pour tous, solidarité et esprit d’équipe.",impasse Ste Elisabeth,Association,Tout public,05 57 87 02 57,"Lundi, Mardi, Mercredi, Vendredi : 9h-12h30/13h30-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Foyer Fraternel Centre Social,44.85584624,-0.5721108423,"Le Foyer Fraternel est à la fois un centre social & un organisme de formation. Il répond aux besoins éducatifs et de loisirs, aux besoins d’insertion sociale et de solidarité, aux besoins de formation et d’insertion professionnelle. L’association propose notamment des cours de Français (Alpha, FLE) et des ateliers pour le numérique. Elle compte 800 adhérents et 2500 usagers dans les quartiers Chartrons, Grand Parc, Jardin Public.",23 rue Gouffrand,Centre social,"Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Séniors",05 57 87 13 92,Lundi au Vendredi : 9h-18h.,Accès à un équipement informatique
Bibliothèque Mériadeck,44.83511683,-0.5867592372,"La bibliothèque Mériadeck est la plus grande bibliothèque du réseau bordelais. C'est également l'une des plus grandes bibliothèques municipales de France, avec ses 8 000 m² ouverts au public ! L'offre de documents est vaste : le bâtiment abrite plus d'un million de documents dans des dizaines de kilomètres de rayonnages, soit en accès tout à fait simple et facile, dans les salles, pour l'emprunt à domicile ou la lecture sur place, soit en magasins.",85 cours du Maréchal Juin,Bibliothèque / Médiathèque,Tout public,05 56 10 30 00,"Lundi et Jeudi : 13h à 19h / Mardi Mercredi et Vendredi : 10h-19h, Samedi : 10h-18h (espace Patrimoine 13h-18h), Dimanche : 14h-18h d'octobre à avril.",Accès à un équipement informatique
CRIJ Nouvelle Aquitaine,44.83748991,-0.5758392829,"L'information Jeunesse vise à informer tous les Jeunes sur tous les sujets en lien avec leurs démarches d'accès à l'autonomie. Le CRIJ Nouvelle Aquitaine est la tête de réseau régionale des 170 structures IJ du territoire et gère l'accueil des Jeunes sur ses trois sites de Bordeaux, Limoges et Poitiers.",125 Cours Alsace Lorraine,Association,Jeunes,05 56 56 00 56,Lundi 13h30-17h Mardi à Jeudi 10h-12h et 13h30-17h Vendredi 10h-12h et 13h30-16h30.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Le Nom Lieu,44.84041518,-0.5705175784,Le Nom Lieu est une association de l'ESS qui accompagne les Jeunes de 16 à 25 ans en situation de fragilité psychique et/ou d'exclusion sociale à partir de leurs affinités dans les domaines du numérique vers leur insertion sociale et professionnelle.,Le Node 12 rue des faussets,Tiers-lieu / Coworking / FabLab / Hackerspace,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap",06 25 04 92 96,"Mercredi : 9h-17h, Samedi : 10h-13h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Oxygène,44.83865367,-0.5680439008,"Nos missions s’inscrivent dans le champ de l’insertion sociale et dans la lutte contre les exclusions et l’isolement en amenant notre public, au travers de nos actions, à retisser du lien social, à retrouver confiance et estime de soi. Il s’agit de lever progressivement les freins et les obstacles à l’émergence de projets.",27-29 quai Richelieu,Association,Tout public,05 56 96 96 63,Permanences tous les Mercredi après-midi.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Philomathique de Bordeaux,44.84217764,-0.5828164271,"Centre de formation professionnelle depuis 1808 à Bordeaux, spécialisé historiquement dans les métiers d'arts et d'artisanat et qui propose depuis 2015 des formations en lien avec le numérique, et notamment le web et ses usages. Les formations sont à la fois à destination de publics demandeurs d'emplois, particuliers ou en reconversion professionnelle. Ces actions sont diplômantes ou certifiantes. De plus des actions d'intérêt général sont ouvertes à destination des associations du territoire à travers l'action ""A l'Asso du Web"".",66 rue Abbé de l'Epée,Association,Demandeurs d'emploi,05 56 52 23 26,Lundi au Vendredi : 8h30-18 h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Abracodabra,44.83429704,-0.5862119378,"Abracodabra propose des ateliers de création numérique pour les enfants et adolescents de 4 à 15 ans. Durant les vacances scolaires ou pour des ateliers hebdomadaires, les Jeunes utilise le numérique comme un outil pour créer des robots, sites web, jeux vidéo, etc.",77 rue Lecocq,Autre / Inconnu,"Jeunes,Personnes en situation de handicap",05 57 65 75 39,Selon programme d’ateliers.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
